takeoffdate	landingdate	airlineMarketing	airlineOperator	airlineOwner	airportOrg	orgLAT	orgLON	airportDst	desLAT	desLON	ACtype	takeOffTime	landingTime	durationH	takeOffMinute	landingMinute		
01/01/2016 00:20	01/01/2016 15:05	Emirates Airline	Emirates Airline	Emirates Airline	Houston - George Bush Intercontinental Airport	29.99	-95.337	DUBAI INTERNATIONAL	25.253	55.364	388	0:20:00	15:05:00	14:45:00	20	905		
01/01/2016 00:20	01/01/2016 14:35	Qantas	Qantas	Qantas	 Melbourne Airport	-37.665	144.84	Los Angeles International Airport	33.941	-118.409	388	0:20:00	14:35:00	14:15:00	20	875		
01/01/2016 00:25	01/01/2016 07:35	Air France	Air France	Air France	NEW YORK J F KENNEDY INTERNATIONAL APT	40.641	-73.778	PARIS CHARLES DE GAULLE APT	49.005	2.555	388	0:25:00	7:35:00	7:10:00	25	455		
01/01/2016 00:25	01/01/2016 09:35	China Southern Airlines	China Southern Airlines	China Southern Airlines	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	Guangzhou Baiyun International Airport	23.402	113.309	380	0:25:00	9:35:00	9:10:00	25	575		
01/01/2016 00:25	01/01/2016 09:45	Qantas	Qantas	Qantas	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	HONG KONG INTERNATIONAL APT	22.296	113.897	388	0:25:00	9:45:00	9:20:00	25	585		
01/01/2016 00:25	01/01/2016 04:25	Singapore Airlines	Singapore Airlines	Singapore Airlines	SINGAPORE CHANGI APT	1.363	103.992	HONG KONG INTERNATIONAL APT	22.296	113.897	388	0:25:00	4:25:00	4:00:00	25	265		
01/01/2016 00:30	01/01/2016 14:25	Qantas	Qantas	Qantas	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	Los Angeles International Airport	33.941	-118.409	388	0:30:00	14:25:00	13:55:00	30	865		
01/01/2016 00:30	01/01/2016 11:05	Singapore Airlines	Singapore Airlines	Singapore Airlines	AUCKLAND INTERNATIONAL APT	-37.01	174.786	SINGAPORE CHANGI APT	1.363	103.992	388	0:30:00	11:05:00	10:35:00	30	665		
01/01/2016 00:35	01/01/2016 14:10	Korean Air	Korean Air	Korean Air	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	 Hartsfield-Jackson Atlanta International Airport	33.641144	-84.435523	388	0:35:00	14:10:00	13:35:00	35	850		
01/01/2016 00:45	01/01/2016 06:50	Singapore Airlines	Singapore Airlines	Singapore Airlines	SINGAPORE CHANGI APT	1.363	103.992	 Beijing Capital International Airport	40.066	116.609	388	0:45:00	6:50:00	6:05:00	45	410		
01/01/2016 01:00	01/01/2016 04:05	China Southern Airlines	China Southern Airlines	China Southern Airlines	Guangzhou Baiyun International Airport	23.402	113.309	 Beijing Capital International Airport	40.066	116.609	380	1:00:00	4:05:00	3:05:00	60	245		
01/01/2016 01:00	01/01/2016 06:50	Thai Airways International	Thai Airways International	Thai Airways International	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	TOKYO NARITA APT	35.769	140.393	380	1:00:00	6:50:00	5:50:00	60	410		
